ID,Symbol,Name,BitcoinVsCurrency24hPercentChangeDiff,PercentChange24h,BitcoinPercentChange24h,LoadedWhen
131,DASH,Dash,-6.53395642,-4.53687843,1.99707799,2025-01-19T06:35:34.000Z
2,LTC,Litecoin,-6.37710746,-4.38002947,1.99707799,2025-01-19T06:35:34.000Z
6758,SUSHI,SushiSwap,-6.2730163,-4.27593831,1.99707799,2025-01-19T06:35:34.000Z
23254,CORE,Core,-5.79816356,-3.80108557,1.99707799,2025-01-19T06:35:34.000Z
5994,SHIB,Shiba Inu,-5.77942807,-3.78235008,1.99707799,2025-01-19T06:35:34.000Z
20314,LUNA,Terra,-4.93935011,-2.94227212,1.99707799,2025-01-19T06:35:34.000Z
6636,DOT,Polkadot,-4.57562489,-2.5785469,1.99707799,2025-01-19T06:35:34.000Z
18876,APE,ApeCoin,-4.46853814,-2.47146015,1.99707799,2025-01-19T06:35:34.000Z
3794,ATOM,Cosmos,-4.42032979,-2.4232518,1.99707799,2025-01-19T06:35:34.000Z
7278,AAVE,Aave,-3.92797701,-1.93089902,1.99707799,2025-01-19T06:35:34.000Z
7083,UNI,Uniswap,-3.3691512,-1.37207321,1.99707799,2025-01-19T06:35:34.000Z
328,XMR,Monero,-3.26654826,-1.26947027,1.99707799,2025-01-19T06:35:34.000Z
1027,ETH,Ethereum,-3.03489414,-1.03781615,1.99707799,2025-01-19T06:35:34.000Z
4030,ALGO,Algorand,-2.8370006,-0.83992261,1.99707799,2025-01-19T06:35:34.000Z
74,DOGE,Dogecoin,-1.70637001,0.29070798,1.99707799,2025-01-19T06:35:34.000Z
1958,TRX,TRON,-1.67856218,0.31851581,1.99707799,2025-01-19T06:35:34.000Z
11840,OP,Optimism,-1.06419892,0.93287907,1.99707799,2025-01-19T06:35:34.000Z
1,BTC,Bitcoin,0.0,1.99707799,1.99707799,2025-01-19T06:35:34.000Z
5426,SOL,Solana,13.490651320000001,15.48772931,1.99707799,2025-01-19T06:35:34.000Z
