,Symbol,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote,LoadedWhen,IsTopCurrency
0,BTC,1,Bitcoin,BTC,bitcoin,11868,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19811612.0,19811612.0,False,,1,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 104171.3090678373, 'volume_24h': 65808477571.73326, 'volume_change_24h': 16.246, 'percent_change_1h': -0.27866694, 'percent_change_24h': 3.16982621, 'percent_change_7d': 10.65172989, 'percent_change_30d': 3.48511664, 'percent_change_60d': 13.78466788, 'percent_change_90d': 52.87389492, 'market_cap': 2063801556784.0742, 'market_cap_dominance': 56.5923, 'fully_diluted_market_cap': 2187597490424.58, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,True
1,ETH,1027,Ethereum,ETH,ethereum,9836,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120502277.55095418,120502277.55095418,True,,2,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 3434.3023328520526, 'volume_24h': 26121559650.64404, 'volume_change_24h': -4.2771, 'percent_change_1h': -1.09694997, 'percent_change_24h': 2.01705144, 'percent_change_7d': 6.18368908, 'percent_change_30d': -5.91056722, 'percent_change_60d': 8.72786433, 'percent_change_90d': 30.19277852, 'market_cap': 413841252907.2275, 'market_cap_dominance': 11.434, 'fully_diluted_market_cap': 413841252907.23, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,True
2,SOL,5426,Solana,SOL,solana,823,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,486591458.97977275,592401339.7485095,True,,5,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 225.97931400975446, 'volume_24h': 5376247642.912413, 'volume_change_24h': -12.5795, 'percent_change_1h': 3.75913593, 'percent_change_24h': 6.55597824, 'percent_change_7d': 21.57900086, 'percent_change_30d': 8.96341489, 'percent_change_60d': -7.0519738, 'percent_change_90d': 42.66037864, 'market_cap': 109959604103.25462, 'market_cap_dominance': 3.0381, 'fully_diluted_market_cap': 133870448374.83, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,True
3,DOGE,74,Dogecoin,DOGE,dogecoin,1149,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate']",,147668646383.70526,147668646383.70526,True,,7,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 0.4206167895072306, 'volume_24h': 7117986368.236001, 'volume_change_24h': 75.3544, 'percent_change_1h': -0.66437039, 'percent_change_24h': 8.87520962, 'percent_change_7d': 26.72251378, 'percent_change_30d': 16.60008077, 'percent_change_60d': 12.17199535, 'percent_change_90d': 197.87703428, 'market_cap': 62111911952.792625, 'market_cap_dominance': 1.7161, 'fully_diluted_market_cap': 62111911952.79, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,True
4,TRX,1958,TRON,TRX,tron,1108,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86157474231.86559,86157467028.70346,True,,10,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 0.2534320803756868, 'volume_24h': 1176378362.9079614, 'volume_change_24h': 24.2229, 'percent_change_1h': -0.97384944, 'percent_change_24h': 5.01502251, 'percent_change_7d': 4.22855569, 'percent_change_30d': -2.69247249, 'percent_change_60d': 24.18628121, 'percent_change_90d': 62.26686205, 'market_cap': 21835067934.496326, 'market_cap_dominance': 0.5982, 'fully_diluted_market_cap': 21835066108.98, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,True
5,OP,11840,Optimism,OP,optimism-ethereum,617,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",4294967296.0,1351719035.0,4294967296.0,False,"{'id': 11840, 'name': 'Optimism', 'symbol': 'OP', 'slug': 'optimism-ethereum', 'token_address': '0x4200000000000000000000000000000000000042'}",49,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 1.9564892344566267, 'volume_24h': 205955329.16175434, 'volume_change_24h': -11.3341, 'percent_change_1h': -1.51292487, 'percent_change_24h': 4.31578794, 'percent_change_7d': 10.14243431, 'percent_change_30d': -9.33210591, 'percent_change_60d': 9.4617092, 'percent_change_90d': 16.71068281, 'market_cap': 2644623739.9876003, 'market_cap_dominance': 0.0731, 'fully_diluted_market_cap': 8403057276.97, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,False
6,ALGO,4030,Algorand,ALGO,algorand,471,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'algorand-ecosystem', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities']",,8380903989.810755,10000000000.0,False,,38,8380903989.810755,3865186921.839476,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 0.4611897387845812, 'volume_24h': 344192596.4002709, 'volume_change_24h': -51.5581, 'percent_change_1h': -0.61446535, 'percent_change_24h': -5.04712249, 'percent_change_7d': 26.23870992, 'percent_change_30d': 26.14650124, 'percent_change_60d': 116.65727219, 'percent_change_90d': 278.11840931, 'market_cap': 3865186921.839476, 'market_cap_dominance': 0.1068, 'fully_diluted_market_cap': 4611897387.85, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,False
7,ATOM,3794,Cosmos,ATOM,cosmos,844,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'polygon-ecosystem', 'injective-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'layer-1', 'alleged-sec-securities']",,390934204.0,390934204.0,True,,48,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 6.994379113561907, 'volume_24h': 216844485.93572715, 'volume_change_24h': 16.5537, 'percent_change_1h': -1.2549964, 'percent_change_24h': 3.55696858, 'percent_change_7d': 6.74635285, 'percent_change_30d': -7.89061712, 'percent_change_60d': 11.59871494, 'percent_change_90d': 58.87152701, 'market_cap': 2734342031.2345495, 'market_cap_dominance': 0.0749, 'fully_diluted_market_cap': 2734342031.23, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,False
8,XMR,328,Monero,XMR,monero,307,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', '2017-2018-alt-season']",,18446744.07370955,18446744.07370955,True,,35,,,,2025-01-18T03:25:00.000Z,"{'USD': {'price': 221.02257181765245, 'volume_24h': 93418827.45191911, 'volume_change_24h': 0.2132, 'percent_change_1h': -1.45833005, 'percent_change_24h': -1.36842328, 'percent_change_7d': 13.95893511, 'percent_change_30d': 6.12826832, 'percent_change_60d': 42.06379645, 'percent_change_90d': 38.65728444, 'market_cap': 4077146816.833324, 'market_cap_dominance': 0.1126, 'fully_diluted_market_cap': 4077146816.83, 'tvl': None, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,False
9,AAVE,7278,Aave,AAVE,aave,1005,2020-10-02T00:00:00.000Z,"['defi', 'dao', 'ethereum-ecosystem', 'yield-farming', 'three-arrows-capital-portfolio', 'governance', 'heco-ecosystem', 'solana-ecosystem', 'lending-borowing', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'near-protocol-ecosystem', 'optimism-ecosystem', 'standard-crypto-portfolio', 'gnosis-chain-ecosystem', 'sora-ecosystem']",,15047695.36408899,16000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9'}",31,,,0.22366636,2025-01-18T03:25:00.000Z,"{'USD': {'price': 329.9329751342822, 'volume_24h': 482294434.1096717, 'volume_change_24h': 5.2206, 'percent_change_1h': -2.30812956, 'percent_change_24h': 3.57029603, 'percent_change_7d': 17.19361493, 'percent_change_30d': -1.13276396, 'percent_change_60d': 97.42938558, 'percent_change_90d': 110.2588449, 'market_cap': 4964730900.388226, 'market_cap_dominance': 0.1373, 'fully_diluted_market_cap': 5278927602.15, 'tvl': 22197039020.180595, 'last_updated': '2025-01-18T03:25:00.000Z'}}",20250118032721,False
